"sep=,"
id,timestamp,val_acc_m,val_acc_d,val_loss_m,val_loss_d,test_acc_m,test_acc_d,test_loss_m,test_loss_d,epoch_m,epoch_d,env.os,env.platform,env.sox,env.java.1,env.java.2,env.java.3,env.keras,env.tf,env.gpu,pipeline.AudioLoadTask,pipeline.AudioLoadTask.mdb,pipeline.AudioLoadTask.dataset_name,pipeline.AudioLoadTask.source,pipeline.DurationLengthFilter,pipeline.DurationLengthFilter.min_duration_length,pipeline.MinCountLabelFilter,pipeline.MinCountLabelFilter.min_count,pipeline.ExtractLabelPartsTask,pipeline.ExtractLabelPartsTask.fixed_length,pipeline.ExtractLabelPartsTask.padded_left,pipeline.NoiseReduceTask,pipeline.NoiseReduceTask.sensitivity,pipeline.NoiseReduceTask.noise.AudioLoadTask,pipeline.NoiseReduceTask.noise.AudioLoadTask.mdb,pipeline.NoiseReduceTask.noise.AudioLoadTask.dataset_name,pipeline.NoiseReduceTask.noise.AudioLoadTask.source,pipeline.NoiseReduceTask.noise.DurationLengthFilter,pipeline.NoiseReduceTask.noise.DurationLengthFilter.min_duration_length,pipeline.NoiseReduceTask.noise.MinCountLabelFilter,pipeline.NoiseReduceTask.noise.MinCountLabelFilter.min_count,pipeline.NoiseReduceTask.noise.SilentAudioTask,pipeline.NoiseReduceTask.noise.SilentAudioTask.max_length,pipeline.NoiseReduceTask.noise.NoiseProfileTask,pipeline.CreateSpectrogramTask,pipeline.CreateSpectrogramTask.sampling_rate,pipeline.CreateSpectrogramTask.width,pipeline.CreateSpectrogramTask.window,pipeline.ExtractHOGHWRecogTask,pipeline.KFoldSeparationTask,pipeline.KFoldSeparationTask.k,pipeline.KFoldSeparationTask.val_bins,pipeline.KFoldSeparationTask.test_bins,pipeline.ParallelTask,pipeline.ParallelTask.action,pipeline.ParallelTask.kwargs.name,pipeline.ParallelTask.kwargs.model.name,pipeline.ParallelTask.kwargs.model.layers.1.class_name,pipeline.ParallelTask.kwargs.model.layers.1.config.batch_input_shape.2,pipeline.ParallelTask.kwargs.model.layers.1.config.batch_input_shape.3,pipeline.ParallelTask.kwargs.model.layers.1.config.batch_input_shape.4,pipeline.ParallelTask.kwargs.model.layers.1.config.dtype,pipeline.ParallelTask.kwargs.model.layers.1.config.sparse,pipeline.ParallelTask.kwargs.model.layers.1.config.ragged,pipeline.ParallelTask.kwargs.model.layers.1.config.name,pipeline.ParallelTask.kwargs.model.layers.2.class_name,pipeline.ParallelTask.kwargs.model.layers.2.config.name,pipeline.ParallelTask.kwargs.model.layers.2.config.trainable,pipeline.ParallelTask.kwargs.model.layers.2.config.batch_input_shape.2,pipeline.ParallelTask.kwargs.model.layers.2.config.batch_input_shape.3,pipeline.ParallelTask.kwargs.model.layers.2.config.batch_input_shape.4,pipeline.ParallelTask.kwargs.model.layers.2.config.dtype,pipeline.ParallelTask.kwargs.model.layers.2.config.filters,pipeline.ParallelTask.kwargs.model.layers.2.config.kernel_size.1,pipeline.ParallelTask.kwargs.model.layers.2.config.kernel_size.2,pipeline.ParallelTask.kwargs.model.layers.2.config.strides.1,pipeline.ParallelTask.kwargs.model.layers.2.config.strides.2,pipeline.ParallelTask.kwargs.model.layers.2.config.padding,pipeline.ParallelTask.kwargs.model.layers.2.config.data_format,pipeline.ParallelTask.kwargs.model.layers.2.config.dilation_rate.1,pipeline.ParallelTask.kwargs.model.layers.2.config.dilation_rate.2,pipeline.ParallelTask.kwargs.model.layers.2.config.groups,pipeline.ParallelTask.kwargs.model.layers.2.config.activation,pipeline.ParallelTask.kwargs.model.layers.2.config.use_bias,pipeline.ParallelTask.kwargs.model.layers.2.config.kernel_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.2.config.bias_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.3.class_name,pipeline.ParallelTask.kwargs.model.layers.3.config.name,pipeline.ParallelTask.kwargs.model.layers.3.config.trainable,pipeline.ParallelTask.kwargs.model.layers.3.config.dtype,pipeline.ParallelTask.kwargs.model.layers.3.config.pool_size.1,pipeline.ParallelTask.kwargs.model.layers.3.config.pool_size.2,pipeline.ParallelTask.kwargs.model.layers.3.config.padding,pipeline.ParallelTask.kwargs.model.layers.3.config.strides.1,pipeline.ParallelTask.kwargs.model.layers.3.config.strides.2,pipeline.ParallelTask.kwargs.model.layers.3.config.data_format,pipeline.ParallelTask.kwargs.model.layers.4.class_name,pipeline.ParallelTask.kwargs.model.layers.4.config.name,pipeline.ParallelTask.kwargs.model.layers.4.config.trainable,pipeline.ParallelTask.kwargs.model.layers.4.config.dtype,pipeline.ParallelTask.kwargs.model.layers.4.config.filters,pipeline.ParallelTask.kwargs.model.layers.4.config.kernel_size.1,pipeline.ParallelTask.kwargs.model.layers.4.config.kernel_size.2,pipeline.ParallelTask.kwargs.model.layers.4.config.strides.1,pipeline.ParallelTask.kwargs.model.layers.4.config.strides.2,pipeline.ParallelTask.kwargs.model.layers.4.config.padding,pipeline.ParallelTask.kwargs.model.layers.4.config.data_format,pipeline.ParallelTask.kwargs.model.layers.4.config.dilation_rate.1,pipeline.ParallelTask.kwargs.model.layers.4.config.dilation_rate.2,pipeline.ParallelTask.kwargs.model.layers.4.config.groups,pipeline.ParallelTask.kwargs.model.layers.4.config.activation,pipeline.ParallelTask.kwargs.model.layers.4.config.use_bias,pipeline.ParallelTask.kwargs.model.layers.4.config.kernel_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.4.config.bias_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.5.class_name,pipeline.ParallelTask.kwargs.model.layers.5.config.name,pipeline.ParallelTask.kwargs.model.layers.5.config.trainable,pipeline.ParallelTask.kwargs.model.layers.5.config.dtype,pipeline.ParallelTask.kwargs.model.layers.5.config.pool_size.1,pipeline.ParallelTask.kwargs.model.layers.5.config.pool_size.2,pipeline.ParallelTask.kwargs.model.layers.5.config.padding,pipeline.ParallelTask.kwargs.model.layers.5.config.strides.1,pipeline.ParallelTask.kwargs.model.layers.5.config.strides.2,pipeline.ParallelTask.kwargs.model.layers.5.config.data_format,pipeline.ParallelTask.kwargs.model.layers.6.class_name,pipeline.ParallelTask.kwargs.model.layers.6.config.name,pipeline.ParallelTask.kwargs.model.layers.6.config.trainable,pipeline.ParallelTask.kwargs.model.layers.6.config.dtype,pipeline.ParallelTask.kwargs.model.layers.6.config.filters,pipeline.ParallelTask.kwargs.model.layers.6.config.kernel_size.1,pipeline.ParallelTask.kwargs.model.layers.6.config.kernel_size.2,pipeline.ParallelTask.kwargs.model.layers.6.config.strides.1,pipeline.ParallelTask.kwargs.model.layers.6.config.strides.2,pipeline.ParallelTask.kwargs.model.layers.6.config.padding,pipeline.ParallelTask.kwargs.model.layers.6.config.data_format,pipeline.ParallelTask.kwargs.model.layers.6.config.dilation_rate.1,pipeline.ParallelTask.kwargs.model.layers.6.config.dilation_rate.2,pipeline.ParallelTask.kwargs.model.layers.6.config.groups,pipeline.ParallelTask.kwargs.model.layers.6.config.activation,pipeline.ParallelTask.kwargs.model.layers.6.config.use_bias,pipeline.ParallelTask.kwargs.model.layers.6.config.kernel_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.6.config.bias_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.7.class_name,pipeline.ParallelTask.kwargs.model.layers.7.config.name,pipeline.ParallelTask.kwargs.model.layers.7.config.trainable,pipeline.ParallelTask.kwargs.model.layers.7.config.dtype,pipeline.ParallelTask.kwargs.model.layers.7.config.pool_size.1,pipeline.ParallelTask.kwargs.model.layers.7.config.pool_size.2,pipeline.ParallelTask.kwargs.model.layers.7.config.padding,pipeline.ParallelTask.kwargs.model.layers.7.config.strides.1,pipeline.ParallelTask.kwargs.model.layers.7.config.strides.2,pipeline.ParallelTask.kwargs.model.layers.7.config.data_format,pipeline.ParallelTask.kwargs.model.layers.8.class_name,pipeline.ParallelTask.kwargs.model.layers.8.config.name,pipeline.ParallelTask.kwargs.model.layers.8.config.trainable,pipeline.ParallelTask.kwargs.model.layers.8.config.dtype,pipeline.ParallelTask.kwargs.model.layers.8.config.data_format,pipeline.ParallelTask.kwargs.model.layers.9.class_name,pipeline.ParallelTask.kwargs.model.layers.9.config.name,pipeline.ParallelTask.kwargs.model.layers.9.config.trainable,pipeline.ParallelTask.kwargs.model.layers.9.config.dtype,pipeline.ParallelTask.kwargs.model.layers.9.config.units,pipeline.ParallelTask.kwargs.model.layers.9.config.activation,pipeline.ParallelTask.kwargs.model.layers.9.config.use_bias,pipeline.ParallelTask.kwargs.model.layers.9.config.kernel_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.9.config.bias_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.10.class_name,pipeline.ParallelTask.kwargs.model.layers.10.config.name,pipeline.ParallelTask.kwargs.model.layers.10.config.trainable,pipeline.ParallelTask.kwargs.model.layers.10.config.dtype,pipeline.ParallelTask.kwargs.model.layers.10.config.rate,pipeline.ParallelTask.kwargs.model.layers.11.class_name,pipeline.ParallelTask.kwargs.model.layers.11.config.name,pipeline.ParallelTask.kwargs.model.layers.11.config.trainable,pipeline.ParallelTask.kwargs.model.layers.11.config.dtype,pipeline.ParallelTask.kwargs.model.layers.11.config.units,pipeline.ParallelTask.kwargs.model.layers.11.config.activation,pipeline.ParallelTask.kwargs.model.layers.11.config.use_bias,pipeline.ParallelTask.kwargs.model.layers.11.config.kernel_initializer.class_name,pipeline.ParallelTask.kwargs.model.layers.11.config.bias_initializer.class_name,pipeline.ParallelTask.pfl_suffix,pipeline.ParallelTask.pfl_inject.validate,pipeline.ParallelTask.kwargs.epochs,pipeline.ParallelTask.kwargs.save_every,pipeline.ParallelTask.kwargs.validate.AudioLoadTask,pipeline.ParallelTask.kwargs.validate.AudioLoadTask.mdb,pipeline.ParallelTask.kwargs.validate.AudioLoadTask.dataset_name,pipeline.ParallelTask.kwargs.validate.AudioLoadTask.source,pipeline.ParallelTask.kwargs.validate.DurationLengthFilter,pipeline.ParallelTask.kwargs.validate.DurationLengthFilter.min_duration_length,pipeline.ParallelTask.kwargs.validate.MinCountLabelFilter,pipeline.ParallelTask.kwargs.validate.MinCountLabelFilter.min_count,pipeline.ParallelTask.kwargs.validate.ExtractLabelPartsTask,pipeline.ParallelTask.kwargs.validate.ExtractLabelPartsTask.fixed_length,pipeline.ParallelTask.kwargs.validate.ExtractLabelPartsTask.padded_left,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.sensitivity,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.AudioLoadTask,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.AudioLoadTask.mdb,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.AudioLoadTask.dataset_name,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.AudioLoadTask.source,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.DurationLengthFilter,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.DurationLengthFilter.min_duration_length,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.MinCountLabelFilter,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.MinCountLabelFilter.min_count,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.SilentAudioTask,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.SilentAudioTask.max_length,pipeline.ParallelTask.kwargs.validate.NoiseReduceTask.noise.NoiseProfileTask,pipeline.ParallelTask.kwargs.validate.CreateSpectrogramTask,pipeline.ParallelTask.kwargs.validate.CreateSpectrogramTask.sampling_rate,pipeline.ParallelTask.kwargs.validate.CreateSpectrogramTask.width,pipeline.ParallelTask.kwargs.validate.CreateSpectrogramTask.window,pipeline.ParallelTask.kwargs.validate.ExtractHOGHWRecogTask,pipeline.ParallelTask.kwargs.validate.KFoldSeparationTask,pipeline.ParallelTask.kwargs.validate.KFoldSeparationTask.k,pipeline.ParallelTask.kwargs.validate.KFoldSeparationTask.val_bins,pipeline.ParallelTask.kwargs.validate.KFoldSeparationTask.test_bins,pipeline.ParallelTask.kwargs.validate.KFoldSeparationTask.n,pipeline.ParallelTask.kwargs.model_path,pipeline.ParallelTask.pfl_inject.testing,pipeline.KFoldNNMergingTask,pipeline.KFoldNNMergingTask.report_name.1,val_acc.1,val_acc.2,val_acc.3,val_acc.4,val_acc.5,val_acc.6,val_acc.7,val_acc.8,val_loss.1,val_loss.2,val_loss.3,val_loss.4,val_loss.5,val_loss.6,val_loss.7,val_loss.8,test_acc.1,test_acc.2,test_acc.3,test_acc.4,test_acc.5,test_acc.6,test_acc.7,test_acc.8,test_loss.1,test_loss.2,test_loss.3,test_loss.4,test_loss.5,test_loss.6,test_loss.7,test_loss.8,epoch.1,epoch.2,epoch.3,epoch.4,epoch.5,epoch.6,epoch.7,epoch.8
nn_cnn_2d_sct_compressed_nrs6_hog_100/k-fold_c45d-3cbb-f3e4-3522-4edd-6fe8-1c9b-8f60/rec_k8_v1t2_e100_bva.report,2020-12-29T20:56:36Z,0.8281250074375,0.02086308088509788,1.610858649025,0.984550551021828,0.753125,0.060040908673051514,0.8082854986631215,0.3025839395583412,42.75,25.6835133333206,Linux,Linux-3.10.0-1127.19.1.el7.x86_64-x86_64-with-glibc2.10,14.4.2,"openjdk version ""1.8.0_262""",OpenJDK Runtime Environment (build 1.8.0_262-b10),"OpenJDK 64-Bit Server VM (build 25.262-b10, mixed mode)",2.4.0,2.3.1,"device: 0, name: Tesla P100-PCIE-12GB, pci bus id: 0000:87:00.0, compute capability: 6.0",1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,False,False,5,6,1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,0.3,5,6,500000,100,Ham,7,8,8,1,2,11,recognize_best_val_acc,cnn_2d_sct_compressed_nrs6_hog_100,sequential,InputLayer,43,288,1,float32,False,False,conv2d_input,Conv2D,conv2d,True,43,288,1,float32,32,3,3,1,1,valid,channels_last,1,1,1,relu,True,GlorotUniform,Zeros,MaxPooling2D,max_pooling2d,True,float32,2,2,valid,2,2,channels_last,Conv2D,conv2d_1,True,float32,64,3,3,1,1,valid,channels_last,1,1,1,relu,True,GlorotUniform,Zeros,MaxPooling2D,max_pooling2d_1,True,float32,2,2,valid,2,2,channels_last,Conv2D,conv2d_2,True,float32,64,3,3,1,1,valid,channels_last,1,1,1,relu,True,GlorotUniform,Zeros,MaxPooling2D,max_pooling2d_2,True,float32,2,2,valid,2,2,channels_last,Flatten,flatten,True,float32,channels_last,Dense,dense,True,float32,1024,relu,True,GlorotUniform,Zeros,Dropout,dropout,True,float32,0.5,Dense,dense_1,True,float32,4,softmax,True,GlorotUniform,Zeros,_bva,val,100,100,1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,False,False,5,6,1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,0.3,5,6,500000,100,Ham,7,8,8,1,2,0,simple_call_test/models/nn_cnn_2d_sct_compressed_nrs6_hog_100/c45df21574ff093ab13aadb9fe316c661c5b2847/best_val_acc_e037_v0.85.h5,test,12,testing_sct_compressed,0.8500000238,0.8249999881,0.8500000238,0.8249999881,0.8249999881,0.8000000119,0.8500000238,0.8000000119,1.4970672131,1.0876253843,1.71537745,1.0471069813,1.0988457203,1.202989459,1.25712955,3.9807274342,0.825,0.7125,0.7125,0.8,0.825,0.675,0.7,0.775,0.48179281795873974,0.8451847630598422,0.7640010747212045,0.6646492005303571,0.5149247899421852,0.8099570185877383,1.4463112949503336,0.9394630295545714,37,17,35,43,41,10,73,86
nn_cnn_2d_sct_compressed_nrs6_hog_100/k-fold_c45d-3cbb-f3e4-3522-4edd-6fe8-1c9b-8f60/rec_k8_v1t2_e100_bva.report,2020-12-31T09:54:49Z,0.8281250074375,0.02086308088509788,1.610858649025,0.984550551021828,0.753125,0.060040908673051514,0.8082854986631215,0.3025839395583412,42.75,25.6835133333206,Linux,Linux-3.10.0-1127.19.1.el7.x86_64-x86_64-with-glibc2.10,14.4.2,"openjdk version ""1.8.0_262""",OpenJDK Runtime Environment (build 1.8.0_262-b10),"OpenJDK 64-Bit Server VM (build 25.262-b10, mixed mode)",2.4.0,2.3.1,"device: 0, name: Tesla P100-PCIE-12GB, pci bus id: 0000:87:00.0, compute capability: 6.0",1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,False,False,5,6,1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,0.3,5,6,500000,100,Ham,7,8,8,1,2,11,recognize_best_val_acc,cnn_2d_sct_compressed_nrs6_hog_100,sequential,InputLayer,43,288,1,float32,False,False,conv2d_input,Conv2D,conv2d,True,43,288,1,float32,32,3,3,1,1,valid,channels_last,1,1,1,relu,True,GlorotUniform,Zeros,MaxPooling2D,max_pooling2d,True,float32,2,2,valid,2,2,channels_last,Conv2D,conv2d_1,True,float32,64,3,3,1,1,valid,channels_last,1,1,1,relu,True,GlorotUniform,Zeros,MaxPooling2D,max_pooling2d_1,True,float32,2,2,valid,2,2,channels_last,Conv2D,conv2d_2,True,float32,64,3,3,1,1,valid,channels_last,1,1,1,relu,True,GlorotUniform,Zeros,MaxPooling2D,max_pooling2d_2,True,float32,2,2,valid,2,2,channels_last,Flatten,flatten,True,float32,channels_last,Dense,dense,True,float32,1024,relu,True,GlorotUniform,Zeros,Dropout,dropout,True,float32,0.5,Dense,dense_1,True,float32,4,softmax,True,GlorotUniform,Zeros,_bva,val,100,100,1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,False,False,5,6,1,simple_call_test/metadata.json,simple_call_test,simple_call_test/audio,2,0.022,3,50,4,0.3,5,6,500000,100,Ham,7,8,8,1,2,0,simple_call_test/models/nn_cnn_2d_sct_compressed_nrs6_hog_100/c45df21574ff093ab13aadb9fe316c661c5b2847/best_val_acc_e037_v0.85.h5,test,12,testing_sct_compressed,0.8500000238,0.8249999881,0.8500000238,0.8249999881,0.8249999881,0.8000000119,0.8500000238,0.8000000119,1.4970672131,1.0876253843,1.71537745,1.0471069813,1.0988457203,1.202989459,1.25712955,3.9807274342,0.825,0.7125,0.7125,0.8,0.825,0.675,0.7,0.775,0.48179281795873974,0.8451847630598422,0.7640010747212045,0.6646492005303571,0.5149247899421852,0.8099570185877383,1.4463112949503336,0.9394630295545714,37,17,35,43,41,10,73,86
